label,type,vendor,model,firmware,location,ip,id
OLT,OLT,Dasan,V8240,v5.3,Reneetown,219.75.228.120,OLT_032
OLT,OLT,Huawei,MA5800-X7,v4.9,Nicoleberg,134.247.125.122,OLT_033
OLT,OLT,GCOM,GL5610,v2.5,South Josehaven,215.0.97.83,OLT_034
OLT,OLT,GCOM,GL5610,v2.4,New Maryview,128.209.10.6,OLT_035
OLT,OLT,GCOM,GC16,v1.7,Laurenstad,156.241.196.219,OLT_036
OLT,OLT,Huawei,MA5800-X7,v5.3,Russellville,140.45.138.215,OLT_037
OLT,OLT,GCOM,GC16,v3.1,Randyhaven,79.164.165.28,OLT_038
OLT,OLT,GCOM,GL5610,v2.7,Whiteland,5.142.60.217,OLT_039
OLT,OLT,GCOM,GC16,v5.4,Millerbury,21.201.0.136,OLT_040
OLT,OLT,ZTE,C320,v1.1,Darylhaven,54.42.83.58,OLT_041
OLT,OLT,ZTE,C320,v3.9,South Steven,75.231.135.103,OLT_042
OLT,OLT,GCOM,GC16,v3.8,East Amy,123.87.74.218,OLT_043
OLT,OLT,GCOM,GC16,v1.6,Emilyside,87.120.177.190,OLT_044
OLT,OLT,Huawei,MA5800-X7,v3.2,Amymouth,177.157.185.99,OLT_045
OLT,OLT,ZTE,C320,v5.6,Gardnerside,148.176.71.246,OLT_046
OLT,OLT,Huawei,MA5800-X7,v1.2,Nancyview,122.36.242.241,OLT_047
OLT,OLT,Huawei,MA5600T,v5.8,North Vanessahaven,9.204.153.125,OLT_048
OLT,OLT,Dasan,V8240,v1.4,West Susan,98.100.233.178,OLT_049
OLT,OLT,Huawei,MA5600T,v2.3,Port Daniel,72.46.170.148,OLT_050
OLT,OLT,GCOM,GL5610,v5.2,Meganhaven,205.125.59.245,OLT_051
OLT,OLT,ZTE,C300,v4.0,Ericchester,185.61.28.245,OLT_052
OLT,OLT,GCOM,GL5610,v2.4,South Sierramouth,68.20.2.223,OLT_053
OLT,OLT,Huawei,MA5600T,v1.7,Port Sonia,162.103.226.20,OLT_054
OLT,OLT,ZTE,C320,v3.4,Terrellton,80.2.175.114,OLT_055
OLT,OLT,ZTE,C300,v2.6,West Sharonport,24.53.163.44,OLT_056
OLT,OLT,GCOM,GC16,v3.5,North Michael,215.225.236.19,OLT_057
OLT,OLT,Dasan,V5812,v1.1,Jayton,107.17.7.205,OLT_058
OLT,OLT,ZTE,C320,v1.1,New Cathy,104.67.39.148,OLT_059
OLT,OLT,Dasan,V5812,v3.6,Martinezport,194.143.223.221,OLT_060
OLT,OLT,Huawei,MA5600T,v5.3,Sarahaven,69.0.12.46,OLT_061
OLT,OLT,Huawei,MA5600T,v1.8,West Michaelburgh,123.78.18.213,OLT_062
OLT,OLT,ZTE,C320,v4.1,Eddiefurt,129.216.4.114,OLT_063
OLT,OLT,GCOM,GC16,v3.8,Port Stanleyton,209.198.175.100,OLT_064
OLT,OLT,Dasan,V5812,v4.4,Cookview,192.47.205.226,OLT_065
OLT,OLT,ZTE,C300,v4.6,New Mirandabury,82.161.13.210,OLT_066
OLT,OLT,GCOM,GL5610,v5.0,Lake Richard,47.134.80.15,OLT_067
OLT,OLT,GCOM,GC16,v4.9,Brownstad,132.175.107.74,OLT_068
OLT,OLT,GCOM,GL5610,v4.7,Gentryville,30.192.136.102,OLT_069
OLT,OLT,Dasan,V8240,v1.4,Dorseymouth,1.132.178.18,OLT_070
OLT,OLT,GCOM,GC16,v2.4,Troyfurt,170.49.221.160,OLT_071
OLT,OLT,ZTE,C300,v1.0,Brownmouth,139.43.123.203,OLT_072
OLT,OLT,Dasan,V8240,v4.6,Katherinetown,146.154.41.96,OLT_073
OLT,OLT,ZTE,C320,v4.6,South Hannah,44.192.38.243,OLT_074
OLT,OLT,ZTE,C300,v1.6,East Gabriel,32.64.123.118,OLT_075
OLT,OLT,ZTE,C320,v1.8,Parkerfort,199.218.36.78,OLT_076
OLT,OLT,Huawei,MA5600T,v2.7,East Kathleenfort,176.143.229.174,OLT_077
OLT,OLT,GCOM,GL5610,v5.8,New Kelsey,67.98.94.201,OLT_078
OLT,OLT,Dasan,V8240,v4.7,Lake Kevin,94.199.168.37,OLT_079
ONT,ONT,ZTE,F600,v5.7,Lake Christopher,81.42.73.170,ONT_CUST_00000
ONT,ONT,ZTE,F600,v1.4,Riveraberg,66.91.91.223,ONT_CUST_00001
ONT,ONT,ZTE,F600,v3.8,Woodside,46.62.21.144,ONT_CUST_00002
ONT,ONT,Huawei,HG8245,v2.6,Lake Elaine,205.195.164.61,ONT_CUST_00003
ONT,ONT,Dasand,H660GM,v1.6,South Aaronshire,22.146.111.136,ONT_CUST_00004
ONT,ONT,ZTE,F600,v5.7,New Tiffany,205.247.217.112,ONT_CUST_00005
ONT,ONT,Huawei,HG8245,v4.6,Joshuaside,123.135.216.96,ONT_CUST_00006
ONT,ONT,ZTE,F670Y,v5.6,Allenshire,201.228.233.246,ONT_CUST_00007
ONT,ONT,Huawei,HG8245,v3.4,North Karen,177.234.14.253,ONT_CUST_00008
ONT,ONT,ZTE,F670Y,v4.3,Port Kurt,188.54.45.135,ONT_CUST_00009
ONT,ONT,ZTE,F600,v1.6,West Amy,70.244.142.203,ONT_CUST_00010
ONT,ONT,Dasand,H660GM,v2.7,South Williamchester,91.2.170.31,ONT_CUST_00011
ONT,ONT,ZTE,F670Y,v4.9,South Laura,4.112.127.37,ONT_CUST_00012
ONT,ONT,ZTE,F670Y,v1.6,Katherineton,96.37.248.186,ONT_CUST_00013
ONT,ONT,ZTE,F600,v2.0,North Michelleville,47.148.157.203,ONT_CUST_00014
ONT,ONT,Huawei,EG8141,v3.3,Stanleyville,213.247.45.128,ONT_CUST_00015
ONT,ONT,ZTE,F600,v4.4,Elizabethmouth,38.160.29.80,ONT_CUST_00016
ONT,ONT,ZTE,F670Y,v4.0,North Dominique,28.101.235.83,ONT_CUST_00017
ONT,ONT,Huawei,EG8141,v2.1,Houstonfurt,186.149.219.79,ONT_CUST_00018
ONT,ONT,ZTE,F670Y,v2.3,New Deborah,58.76.206.114,ONT_CUST_00019
ONT,ONT,Dasand,H660GM,v2.2,Alexismouth,91.38.73.74,ONT_CUST_00020
ONT,ONT,Dasand,H660GM,v5.3,Annettefurt,26.5.139.8,ONT_CUST_00021
ONT,ONT,ZTE,F600,v3.2,East Rebeccaville,28.58.242.157,ONT_CUST_00022
ONT,ONT,Huawei,HG8245,v2.4,Lynnport,119.7.42.228,ONT_CUST_00023
ONT,ONT,Dasand,H660GM,v3.9,South John,89.117.98.83,ONT_CUST_00024
ONT,ONT,Huawei,EG8141,v2.1,Stephenville,142.25.111.160,ONT_CUST_00025
ONT,ONT,ZTE,F670Y,v1.4,Whiteheadborough,77.122.6.148,ONT_CUST_00026
ONT,ONT,ZTE,F670Y,v5.0,Michelletown,191.88.108.31,ONT_CUST_00027
ONT,ONT,Dasand,H660GM,v3.1,Gutierrezview,205.178.65.216,ONT_CUST_00028
ONT,ONT,Dasand,H660GM,v1.6,South Anthonyville,101.210.173.54,ONT_CUST_00029
ONT,ONT,Huawei,HG8245,v4.5,South Kristenhaven,181.52.210.243,ONT_CUST_00030
ONT,ONT,Dasand,H660GM,v4.2,Tammymouth,87.172.27.81,ONT_CUST_00031
ONT,ONT,ZTE,F600,v5.8,North Pamela,86.91.63.52,ONT_CUST_00032
ONT,ONT,Huawei,EG8141,v4.9,Melissaton,198.46.237.117,ONT_CUST_00033
ONT,ONT,ZTE,F670Y,v1.4,Colemanmouth,173.115.59.212,ONT_CUST_00034
ONT,ONT,Huawei,EG8141,v5.9,Richardborough,153.21.199.255,ONT_CUST_00035
ONT,ONT,Huawei,EG8141,v1.7,Port Cassandra,18.189.188.254,ONT_CUST_00036
ONT,ONT,ZTE,F670Y,v4.3,South Daniel,198.159.153.119,ONT_CUST_00037
ONT,ONT,Huawei,EG8141,v3.4,West Josephhaven,191.104.70.67,ONT_CUST_00038
ONT,ONT,ZTE,F600,v5.0,Smithmouth,197.109.208.253,ONT_CUST_00039
ONT,ONT,ZTE,F670Y,v1.3,Jamesmouth,153.23.137.209,ONT_CUST_00040
ONT,ONT,ZTE,F600,v5.3,Port Zachary,213.4.194.127,ONT_CUST_00041
ONT,ONT,Dasand,H660GM,v4.0,North Elizabeth,60.151.132.12,ONT_CUST_00042
ONT,ONT,ZTE,F670Y,v4.3,East Vanessa,138.213.205.84,ONT_CUST_00043
ONT,ONT,Dasand,H660GM,v4.8,South Veronica,167.141.149.106,ONT_CUST_00044
ONT,ONT,ZTE,F600,v5.5,South Jasonton,140.227.79.206,ONT_CUST_00045
ONT,ONT,Huawei,EG8141,v3.4,Lake Matthew,107.89.61.145,ONT_CUST_00046
ONT,ONT,Huawei,HG8245,v2.5,Lake Tina,53.135.247.2,ONT_CUST_00047
ONT,ONT,Huawei,HG8245,v2.3,Hollyhaven,129.180.27.98,ONT_CUST_00048
ONT,ONT,Huawei,EG8141,v5.8,Gregorymouth,56.167.235.171,ONT_CUST_00049
ONT,ONT,ZTE,F600,v1.3,North Brett,142.21.163.89,ONT_CUST_00050
ONT,ONT,Huawei,HG8245,v3.2,South Maureenfort,37.200.116.194,ONT_CUST_00051
ONT,ONT,Huawei,HG8245,v3.0,Leeland,45.106.65.135,ONT_CUST_00052
ONT,ONT,Huawei,EG8141,v2.7,Stevenborough,22.56.37.223,ONT_CUST_00053
ONT,ONT,Huawei,EG8141,v4.7,New Rebeccaland,186.33.234.100,ONT_CUST_00054
ONT,ONT,ZTE,F600,v2.0,Mathewshaven,119.56.44.171,ONT_CUST_00055
ONT,ONT,ZTE,F670Y,v1.6,South Michaelburgh,135.31.14.211,ONT_CUST_00056
ONT,ONT,Huawei,HG8245,v5.0,Taylormouth,120.150.13.230,ONT_CUST_00057
ONT,ONT,Huawei,EG8141,v1.3,Rossville,190.81.66.226,ONT_CUST_00058
ONT,ONT,Huawei,EG8141,v5.9,South Sean,212.20.219.68,ONT_CUST_00059
ONT,ONT,Huawei,EG8141,v4.7,Mendozahaven,169.251.255.253,ONT_CUST_00060
ONT,ONT,Dasand,H660GM,v3.9,New Jacob,58.82.38.148,ONT_CUST_00061
ONT,ONT,Huawei,HG8245,v2.3,Amandaville,195.21.16.65,ONT_CUST_00062
ONT,ONT,Huawei,HG8245,v2.3,Stevenbury,111.223.252.59,ONT_CUST_00063
ONT,ONT,Dasand,H660GM,v2.0,East Josephport,213.248.46.64,ONT_CUST_00064
ONT,ONT,ZTE,F600,v5.7,Butlerhaven,124.87.74.141,ONT_CUST_00065
ONT,ONT,Huawei,HG8245,v2.4,Shawnborough,29.11.28.173,ONT_CUST_00066
ONT,ONT,Dasand,H660GM,v1.3,Katherineside,155.138.40.16,ONT_CUST_00067
ONT,ONT,Huawei,HG8245,v4.1,West Caitlynside,39.11.8.171,ONT_CUST_00068
ONT,ONT,Huawei,HG8245,v3.2,Lake Christopherborough,189.24.54.160,ONT_CUST_00069
ONT,ONT,ZTE,F670Y,v2.4,West Samanthamouth,168.111.66.20,ONT_CUST_00070
ONT,ONT,ZTE,F600,v4.1,Juarezmouth,210.81.25.157,ONT_CUST_00071
ONT,ONT,ZTE,F600,v4.4,Leestad,73.187.131.157,ONT_CUST_00072
ONT,ONT,Dasand,H660GM,v4.1,North Danielmouth,133.3.243.57,ONT_CUST_00073
ONT,ONT,ZTE,F670Y,v4.5,Deanland,88.142.228.70,ONT_CUST_00074
ONT,ONT,Huawei,EG8141,v1.1,Veronicaside,104.56.26.251,ONT_CUST_00075
ONT,ONT,Huawei,HG8245,v3.9,North Monica,187.119.63.32,ONT_CUST_00076
ONT,ONT,ZTE,F670Y,v4.8,West Roy,113.42.124.122,ONT_CUST_00077
ONT,ONT,ZTE,F600,v2.9,Beardside,5.94.180.175,ONT_CUST_00078
ONT,ONT,ZTE,F600,v1.7,Veronicaland,211.60.97.70,ONT_CUST_00079
ONT,ONT,ZTE,F600,v3.1,Sandrashire,25.37.62.59,ONT_CUST_00080
ONT,ONT,Huawei,EG8141,v4.7,Rodriguezberg,78.243.166.147,ONT_CUST_00081
ONT,ONT,Dasand,H660GM,v5.0,Jacksonfurt,169.34.21.195,ONT_CUST_00082
ONT,ONT,Huawei,EG8141,v3.5,Rodriguezland,173.131.75.214,ONT_CUST_00083
ONT,ONT,ZTE,F600,v5.0,Port Bryan,125.156.13.237,ONT_CUST_00084
ONT,ONT,ZTE,F600,v1.3,Michaelburgh,217.155.254.43,ONT_CUST_00085
ONT,ONT,ZTE,F600,v5.7,Emmaside,99.28.194.120,ONT_CUST_00086
ONT,ONT,ZTE,F670Y,v2.4,North David,195.25.26.5,ONT_CUST_00087
ONT,ONT,Huawei,EG8141,v4.7,West Courtneytown,89.7.85.226,ONT_CUST_00088
ONT,ONT,Huawei,HG8245,v5.3,Lake Joy,27.44.240.150,ONT_CUST_00089
ONT,ONT,Huawei,EG8141,v5.0,Summersville,52.162.19.137,ONT_CUST_00090
ONT,ONT,ZTE,F670Y,v2.1,Lake Michelleside,71.10.39.185,ONT_CUST_00091
ONT,ONT,ZTE,F670Y,v2.7,East Amymouth,131.96.109.192,ONT_CUST_00092
ONT,ONT,Huawei,EG8141,v4.7,Reneestad,186.70.195.239,ONT_CUST_00093
ONT,ONT,Huawei,EG8141,v5.2,Hensleymouth,190.143.38.229,ONT_CUST_00094
ONT,ONT,Huawei,HG8245,v1.4,Wattsside,135.97.198.188,ONT_CUST_00095
ONT,ONT,ZTE,F600,v1.4,Lake Michael,148.58.184.99,ONT_CUST_00096
ONT,ONT,Dasand,H660GM,v2.7,Lake Brandonville,60.115.229.0,ONT_CUST_00097
ONT,ONT,ZTE,F600,v3.8,Lake Jennifer,38.56.90.57,ONT_CUST_00098
ONT,ONT,ZTE,F600,v3.3,North Kayla,41.31.45.12,ONT_CUST_00099
ONT,ONT,Dasand,H660GM,v2.6,North Lauren,201.27.204.238,ONT_CUST_00100
ONT,ONT,ZTE,F600,v4.6,Randyton,79.153.184.5,ONT_CUST_00101
ONT,ONT,Dasand,H660GM,v4.0,South Stephen,144.253.226.199,ONT_CUST_00102
ONT,ONT,ZTE,F600,v1.7,North Sara,136.236.201.44,ONT_CUST_00103
ONT,ONT,Dasand,H660GM,v1.2,Marshallbury,22.57.131.107,ONT_CUST_00104
ONT,ONT,ZTE,F670Y,v1.7,Port Robertport,24.240.217.35,ONT_CUST_00105
ONT,ONT,Huawei,EG8141,v5.6,North Michaelstad,223.161.16.206,ONT_CUST_00106
ONT,ONT,ZTE,F600,v3.7,West Jeffery,123.26.85.147,ONT_CUST_00107
ONT,ONT,Huawei,HG8245,v2.4,Lake Anthonymouth,58.229.110.232,ONT_CUST_00108
ONT,ONT,Huawei,HG8245,v4.1,North Josephtown,8.220.142.92,ONT_CUST_00109
ONT,ONT,ZTE,F670Y,v3.0,Vasquezville,57.226.0.123,ONT_CUST_00110
ONT,ONT,ZTE,F600,v1.4,Lake Brendaburgh,144.219.91.226,ONT_CUST_00111
ONT,ONT,Huawei,EG8141,v4.2,South Bridgetbury,125.36.109.1,ONT_CUST_00112
ONT,ONT,ZTE,F600,v5.2,Port Cheryl,69.93.63.157,ONT_CUST_00113
ONT,ONT,ZTE,F670Y,v1.9,Brianfort,85.90.94.85,ONT_CUST_00114
ONT,ONT,Huawei,HG8245,v4.9,West Elizabeth,158.61.130.103,ONT_CUST_00115
ONT,ONT,ZTE,F670Y,v4.4,New Matthew,68.107.225.78,ONT_CUST_00116
ONT,ONT,ZTE,F670Y,v4.4,South Benjamin,158.94.119.125,ONT_CUST_00117
ONT,ONT,Huawei,HG8245,v4.5,Townsendburgh,149.9.224.117,ONT_CUST_00118
ONT,ONT,ZTE,F600,v4.4,South Melissamouth,7.161.164.145,ONT_CUST_00119
ONT,ONT,ZTE,F670Y,v4.7,New Matthewbury,38.89.90.74,ONT_CUST_00120
ONT,ONT,Huawei,EG8141,v5.5,West Veronica,28.184.35.84,ONT_CUST_00121
ONT,ONT,ZTE,F600,v1.6,East Madisonhaven,145.33.80.140,ONT_CUST_00122
ONT,ONT,Huawei,HG8245,v5.7,Alisonshire,26.23.241.126,ONT_CUST_00123
ONT,ONT,Huawei,EG8141,v2.3,New Casey,72.57.250.168,ONT_CUST_00124
ONT,ONT,ZTE,F670Y,v1.0,North Thomas,46.106.10.43,ONT_CUST_00125
ONT,ONT,ZTE,F670Y,v5.5,West Mary,93.219.191.205,ONT_CUST_00126
ONT,ONT,ZTE,F670Y,v3.5,Taylorborough,68.100.185.20,ONT_CUST_00127
ONT,ONT,Huawei,HG8245,v2.8,Lake Tiffany,133.24.254.73,ONT_CUST_00128
ONT,ONT,ZTE,F600,v2.4,Fleminghaven,155.81.37.253,ONT_CUST_00129
ONT,ONT,Huawei,EG8141,v3.1,Port Amyburgh,208.174.239.182,ONT_CUST_00130
ONT,ONT,ZTE,F670Y,v2.3,Archerbury,11.247.170.113,ONT_CUST_00131
ONT,ONT,Huawei,EG8141,v1.6,Robertsburgh,83.237.153.144,ONT_CUST_00132
ONT,ONT,ZTE,F670Y,v4.5,West Tylerport,205.57.17.179,ONT_CUST_00133
ONT,ONT,Huawei,EG8141,v3.1,Madisonport,121.242.232.63,ONT_CUST_00134
ONT,ONT,Huawei,EG8141,v1.9,West Kiara,222.83.125.169,ONT_CUST_00135
ONT,ONT,ZTE,F670Y,v1.7,Brooketon,22.114.193.67,ONT_CUST_00136
ONT,ONT,Dasand,H660GM,v1.2,Reesehaven,77.184.161.119,ONT_CUST_00137
ONT,ONT,ZTE,F670Y,v3.7,Lucerobury,73.135.3.133,ONT_CUST_00138
ONT,ONT,ZTE,F670Y,v2.8,Lake Toddfort,77.243.196.170,ONT_CUST_00139
ONT,ONT,ZTE,F600,v4.5,Rodriguezmouth,145.152.63.215,ONT_CUST_00140
ONT,ONT,ZTE,F670Y,v4.1,Lake Scottchester,117.10.239.199,ONT_CUST_00141
ONT,ONT,Huawei,EG8141,v3.0,North Laura,174.147.121.156,ONT_CUST_00142
ONT,ONT,Huawei,HG8245,v4.7,Ericside,128.94.55.172,ONT_CUST_00143
ONT,ONT,ZTE,F670Y,v3.8,East Luis,61.65.163.9,ONT_CUST_00144
ONT,ONT,Huawei,HG8245,v4.4,Mercedesside,39.39.176.188,ONT_CUST_00145
ONT,ONT,Huawei,HG8245,v4.1,Alechaven,183.73.224.187,ONT_CUST_00146
ONT,ONT,Dasand,H660GM,v1.5,Lake Gene,73.21.8.70,ONT_CUST_00147
ONT,ONT,ZTE,F670Y,v5.3,North Josephmouth,84.72.179.148,ONT_CUST_00148
ONT,ONT,Huawei,HG8245,v5.3,West Jonshire,92.10.87.41,ONT_CUST_00149
ONT,ONT,Huawei,EG8141,v2.9,New Michaelton,109.105.217.196,ONT_CUST_00150
ONT,ONT,ZTE,F670Y,v2.8,Lake Andrea,27.97.32.126,ONT_CUST_00151
ONT,ONT,Huawei,HG8245,v1.2,Johnport,136.198.189.75,ONT_CUST_00152
ONT,ONT,ZTE,F670Y,v5.5,South Amanda,129.163.205.29,ONT_CUST_00153
ONT,ONT,Huawei,EG8141,v1.2,Port Daniellefurt,197.215.164.23,ONT_CUST_00154
ONT,ONT,Dasand,H660GM,v1.7,Jessicaport,158.111.192.42,ONT_CUST_00155
ONT,ONT,ZTE,F670Y,v4.8,Lake Vanessaville,202.156.241.24,ONT_CUST_00156
ONT,ONT,ZTE,F670Y,v5.4,North Justin,219.248.214.105,ONT_CUST_00157
ONT,ONT,Dasand,H660GM,v1.7,Amyfort,45.158.14.45,ONT_CUST_00158
ONT,ONT,ZTE,F670Y,v4.7,West Johnathan,221.170.151.246,ONT_CUST_00159
ONT,ONT,ZTE,F670Y,v3.9,Laneberg,28.22.0.193,ONT_CUST_00160
ONT,ONT,ZTE,F670Y,v2.4,Gonzalezside,203.18.150.107,ONT_CUST_00161
ONT,ONT,Dasand,H660GM,v4.9,South Teresaburgh,44.41.198.126,ONT_CUST_00162
ONT,ONT,ZTE,F600,v5.9,North Emilyfort,216.131.31.188,ONT_CUST_00163
ONT,ONT,ZTE,F670Y,v1.8,Haleberg,109.80.14.200,ONT_CUST_00164
ONT,ONT,ZTE,F600,v2.6,Stantonstad,2.59.135.248,ONT_CUST_00165
ONT,ONT,ZTE,F600,v4.1,New Heatherfurt,40.214.106.140,ONT_CUST_00166
ONT,ONT,ZTE,F600,v3.5,Chandlerbury,75.161.137.101,ONT_CUST_00167
ONT,ONT,Dasand,H660GM,v1.1,North Jenniferton,103.11.71.185,ONT_CUST_00168
ONT,ONT,Huawei,EG8141,v1.5,East Matthewfort,13.240.244.67,ONT_CUST_00169
ONT,ONT,ZTE,F670Y,v5.8,Amymouth,124.75.182.17,ONT_CUST_00170
ONT,ONT,ZTE,F670Y,v4.5,New Reginaport,210.44.140.137,ONT_CUST_00171
ONT,ONT,Huawei,HG8245,v3.9,New Brenda,25.213.35.55,ONT_CUST_00172
ONT,ONT,ZTE,F670Y,v5.8,Evansside,85.106.239.146,ONT_CUST_00173
ONT,ONT,Huawei,EG8141,v2.1,Bethmouth,24.177.192.218,ONT_CUST_00174
ONT,ONT,Dasand,H660GM,v1.4,West Amanda,161.127.222.249,ONT_CUST_00175
ONT,ONT,Huawei,EG8141,v5.9,Danielton,163.102.153.221,ONT_CUST_00176
ONT,ONT,Dasand,H660GM,v5.4,New Adrian,149.0.50.63,ONT_CUST_00177
ONT,ONT,ZTE,F670Y,v3.4,New Robertoburgh,45.85.47.73,ONT_CUST_00178
ONT,ONT,ZTE,F670Y,v2.2,West Andrewtown,118.32.241.27,ONT_CUST_00179
ONT,ONT,ZTE,F600,v1.2,Johnsonbury,143.129.178.192,ONT_CUST_00180
ONT,ONT,ZTE,F670Y,v5.3,Saraberg,123.51.168.121,ONT_CUST_00181
ONT,ONT,Huawei,EG8141,v4.5,North Amanda,130.200.245.230,ONT_CUST_00182
ONT,ONT,Huawei,EG8141,v3.5,Maldonadofort,162.69.69.233,ONT_CUST_00183
ONT,ONT,ZTE,F670Y,v1.2,Lake David,116.146.125.145,ONT_CUST_00184
ONT,ONT,Huawei,HG8245,v1.4,New James,98.29.205.136,ONT_CUST_00185
ONT,ONT,ZTE,F600,v4.9,New Tiffanyfort,76.123.179.95,ONT_CUST_00186
ONT,ONT,ZTE,F600,v3.3,Darrellberg,181.37.198.43,ONT_CUST_00187
ONT,ONT,Huawei,EG8141,v4.1,West Jenniferside,70.143.148.166,ONT_CUST_00188
ONT,ONT,Dasand,H660GM,v5.4,Mannfurt,81.8.80.191,ONT_CUST_00189
ONT,ONT,ZTE,F670Y,v4.9,Ramosport,217.103.6.111,ONT_CUST_00190
